Date, Elevation (Ft.), Discharge (Ft.^3 per Sec)
1-Jan,1.86,
2-Jan,1.78,
3-Jan,1.84,
4-Jan,1.66,
5-Jan,1.99,
6-Jan,3.22,
7-Jan,6.76,
8-Jan,6.87,
9-Jan,4.75,
10-Jan,6.3,
11-Jan,5.46,
12-Jan,2.68,
13-Jan,2.13,
14-Jan,2.23,
15-Jan,2.04,
16-Jan,2.04,
17-Jan,2,
18-Jan,1.91,
19-Jan,1.78,
20-Jan,1.63,
21-Jan,1.4,
22-Jan,0.86,
23-Jan,0.86,
24-Jan,1.36,
25-Jan,1.56,
26-Jan,1.64,
27-Jan,1.37,
28-Jan,1.41,
29-Jan,1.27,
30-Jan,1.38,
31-Jan,1.51,
1-Feb,1.71,
2-Feb,2.03,
3-Feb,1.47,
4-Feb,0.99,
5-Feb,1.4,
6-Feb,1.66,
7-Feb,1.34,
8-Feb,1.1,
9-Feb,0.74,
10-Feb,0.8,
11-Feb,0.85,
12-Feb,0.95,
13-Feb,1.29,
14-Feb,1.74,
15-Feb,1.37,
16-Feb,1.21,
17-Feb,1.25,
18-Feb,1.47,
19-Feb,1.61,
20-Feb,1.34,
21-Feb,1.41,
22-Feb,3.26,431
23-Feb,5.85,"1,240"
24-Feb,5.32,883
25-Feb,5.55,983
26-Feb,2.92,
27-Feb,1.88,
28-Feb,1.68,
29-Feb,1.52,
1-Mar,1.57,
2-Mar,1.61,
3-Mar,1.71,
4-Mar,1.26,
5-Mar,1.35,
6-Mar,1.28,
7-Mar,1.98,
8-Mar,2.66,
9-Mar,3.59,
10-Mar,12.41,"3,460"
11-Mar,6.09,"1,150"
12-Mar,3.84,250
13-Mar,7.23,"1,700"
14-Mar,7.71,"1,930"
15-Mar,8.02,"2,070"
16-Mar,7.94,"2,040"
17-Mar,6.56,"1,410"
18-Mar,4.01,449
19-Mar,2.7,696
20-Mar,7.42,"1,810"
21-Mar,7.77,"1,960"
22-Mar,7.9,"2,020"
23-Mar,7.75,"1,950"
24-Mar,7.3,"1,720"
25-Mar,6.91,"1,570"
26-Mar,7.88,"2,010"
27-Mar,6.12,"1,230"
28-Mar,6.23,"1,270"
29-Mar,4.01,651
30-Mar,2.64,
31-Mar,2.58,
1-Apr,1.91,
2-Apr,1.49,
3-Apr,1.62,
4-Apr,1.59,
5-Apr,1.36,
6-Apr,1.46,
7-Apr,1.28,
8-Apr,1.49,
9-Apr,1.78,
10-Apr,2.2,
11-Apr,2.14,
12-Apr,1.72,
13-Apr,3.96,350
14-Apr,3.83,277
15-Apr,3.01,
16-Apr,3.3,
17-Apr,4.16,
18-Apr,23.47,"8,810"
19-Apr,17.74,"6,880"
20-Apr,6.91,"1,390"
21-Apr,5.72,868
22-Apr,6.75,"1,470"
23-Apr,8.96,"2,480"
24-Apr,10.69,"3,240"
25-Apr,9.44,"2,670"
26-Apr,10.56,"3,180"
27-Apr,10.62,"3,180"
28-Apr,10.15,"3,000"
29-Apr,10.4,"3,050"
30-Apr,4.95,576
1-May,8.93,"2,440"
2-May,7.89,"1,930"
3-May,9.88,"2,880"
4-May,11.12,"3,420"
5-May,11.15,"3,440"
6-May,11.23,"3,470"
7-May,11.36,"3,530"
8-May,11.33,"3,520"
9-May,11.15,"3,440"
10-May,10.94,"3,340"
11-May,11.08,"3,400"
12-May,10.74,"3,250"
13-May,8.66,"2,330"
14-May,9.25,"2,590"
15-May,7.49,"1,710"
16-May,7.47,"1,650"
17-May,7.54,"1,830"
18-May,7.72,"1,940"
19-May,8.54,"2,250"
20-May,7.55,"1,850"
21-May,10.56,"3,180"
22-May,10.76,"3,260"
23-May,9.47,"2,700"
24-May,9.29,"2,620"
25-May,8.7,"2,360"
26-May,7.12,"1,590"
27-May,8.4,"1,420"
28-May,9.21,"2,240"
29-May,8.19,"2,080"
30-May,9.04,"2,500"
31-May,8.8,"2,410"
1-Jun,8.14,"2,050"
2-Jun,9.72,"2,130"
3-Jun,5.08,
4-Jun,5.87,
5-Jun,4.68,
6-Jun,7.91,"2,000"
7-Jun,8.81,"2,420"
8-Jun,9.39,"2,660"
9-Jun,9.32,"2,630"
10-Jun,9.18,"2,580"
11-Jun,8.25,"2,170"
12-Jun,10.15,"2,760"
13-Jun,7.71,"1,920"
14-Jun,6.93,"1,580"
15-Jun,8.9,"2,450"
16-Jun,9.44,"2,690"
17-Jun,,"2,710"
18-Jun,9.16,"2,560"
