Date,Elevation (Ft.),Discharge (Ft.^3 per Sec)
1-Jan,45,"4,400"
2-Jan,44.38,"4,570"
3-Jan,48.17,"11,100"
4-Jan,49.5,"8,260"
5-Jan,47.97,"6,950"
6-Jan,47,"7,010"
7-Jan,45.62,"5,080"
8-Jan,44.18,"2,920"
9-Jan,43.14,"2,170"
10-Jan,42.92,"2,000"
11-Jan,42.94,"1,100"
12-Jan,43.32,"1,460"
13-Jan,43.3,"1,370"
14-Jan,43.16,"1,150"
15-Jan,43.08,"1,100"
16-Jan,43,982
17-Jan,42.91,901
18-Jan,42.88,815
19-Jan,42.87,"1,400"
20-Jan,43.06,"1,650"
21-Jan,43.14,"1,250"
22-Jan,43.1,"1,320"
23-Jan,43.84,"3,600"
24-Jan,44.94,"4,960"
25-Jan,45.07,"5,220"
26-Jan,45.47,"5,580"
27-Jan,44.45,"3,960"
28-Jan,43.41,"2,360"
29-Jan,43.12,"1,840"
30-Jan,43.04,"1,420"
31-Jan,42.94,"1,020"
1-Feb,43.1,952
2-Feb,42.86,886
3-Feb,42.85,824
4-Feb,42.86,743
5-Feb,42.94,718
6-Feb,42.97,704
7-Feb,42.9,693
8-Feb,42.65,675
9-Feb,42.71,614
10-Feb,42.79,328
11-Feb,42.83,272
12-Feb,42.78,307
13-Feb,42.86,618
14-Feb,42.92,577
15-Feb,42.92,269
16-Feb,42.86,225
17-Feb,42.79,201
18-Feb,42.71,188
19-Feb,42.72,175
20-Feb,42.7,182
21-Feb,42.76,240
22-Feb,42.83,420
23-Feb,42.75,316
24-Feb,42.69,627
25-Feb,42.59,564
26-Feb,42.01,226
27-Feb,41.78,253
28-Feb,41.73,397
29-Feb,,
1-Mar,41.94,774
2-Mar,41.89,998
3-Mar,41.87,812
4-Mar,41.67,656
5-Mar,41.7,575
6-Mar,41.86,534
7-Mar,41.85,282
8-Mar,41.71,170
9-Mar,41.68,156
10-Mar,41.66,144
11-Mar,41.64,131
12-Mar,41.61,118
13-Mar,41.62,132
14-Mar,41.64,623
15-Mar,41.65,731
16-Mar,41.65,689
17-Mar,41.64,761
18-Mar,41.61,342
19-Mar,41.59,182
20-Mar,41.58,140
21-Mar,41.56,123
22-Mar,41.63,114
23-Mar,41.69,102
24-Mar,41.74,94
25-Mar,41.76,92
26-Mar,41.81,89
27-Mar,41.87,90
28-Mar,41.91,88
29-Mar,41.91,86
30-Mar,41.74,84
31-Mar,41.57,83
1-Apr,41.55,92
2-Apr,41.61,322
3-Apr,41.69,425
4-Apr,41.86,438
5-Apr,41.72,442
6-Apr,41.2,435
7-Apr,41.36,527
8-Apr,41.57,830
9-Apr,41.47,634
10-Apr,41.57,738
11-Apr,41.66,788
12-Apr,41.68,588
13-Apr,41.62,511
14-Apr,41.65,482
15-Apr,41.86,453
16-Apr,41.97,432
17-Apr,42.06,426
18-Apr,43.08,"1,500"
19-Apr,43.08,"1,330"
20-Apr,42.79,857
21-Apr,42.82,755
22-Apr,42.77,747
23-Apr,42.69,685
24-Apr,42.63,658
25-Apr,42.54,640
26-Apr,42.64,601
27-Apr,42.7,572
28-Apr,42.73,678
29-Apr,42.77,668
30-Apr,42.8,591
1-May,42.79,570
2-May,42.82,"1,140"
3-May,44.45,"3,550"
4-May,46.3,"3,480"
5-May,44.31,"2,200"
6-May,43.73,"2,360"
7-May,45.93,"3,530"
8-May,46.98,"3,710"
9-May,44.67,"3,220"
10-May,49.25,"7,130"
11-May,47.36,"5,610"
12-May,48.31,"6,290"
13-May,46.09,"3,700"
14-May,44.25,"2,670"
15-May,43.28,"2,360"
16-May,43.03,"1,760"
17-May,42.86,"1,450"
18-May,42.79,"1,350"
19-May,42.7,"1,310"
20-May,42.46,"1,320"
21-May,42.38,"1,330"
22-May,42.15,"1,250"
23-May,42.24,"1,200"
24-May,42.27,526
25-May,42.24,313
26-May,42.22,191
27-May,42.21,160
28-May,41.74,146
29-May,41.71,135
30-May,41.68,164
31-May,41.63,186
1-Jun,41.68,629
2-Jun,41.71,449
3-Jun,41.68,299
4-Jun,41.68,208
5-Jun,41.98,230
6-Jun,41.7,208
7-Jun,41.53,158
8-Jun,41.51,136
9-Jun,41.57,148
10-Jun,41.55,132
11-Jun,41.58,110
12-Jun,41.58,99
13-Jun,41.58,91
14-Jun,41.59,81
15-Jun,41.56,79
16-Jun,41.73,243
17-Jun,43.49,"2,010"
18-Jun,41.99,730
19-Jun,41.7,624
20-Jun,41.62,471
21-Jun,41.68,346
22-Jun,41.63,206
23-Jun,41.63,154
24-Jun,43.58,"1,480"
25-Jun,43.42,"1,010"
26-Jun,42.07,568
27-Jun,42.2,565
28-Jun,42.14,622
29-Jun,42.08,444
30-Jun,41.91,706
1-Jul,41.68,333
2-Jul,41.72,232
3-Jul,41.84,519
4-Jul,41.94,315
5-Jul,41.79,296
6-Jul,41.74,264
7-Jul,41.71,180
8-Jul,41.78,141
9-Jul,41.79,126
10-Jul,41.7,111
11-Jul,41.61,105
12-Jul,41.51,99
13-Jul,41.5,92
14-Jul,41.56,84
15-Jul,41.71,495
16-Jul,42.24,"1,070"
17-Jul,42.02,361
18-Jul,41.9,233
19-Jul,41.81,159
20-Jul,41.84,126
21-Jul,41.75,111
22-Jul,41.63,126
23-Jul,41.62,103
24-Jul,41.63,90
25-Jul,41.64,83
26-Jul,41.63,88
